City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
103,Abeche,TD,13.8292,20.8324,61.5,16,60,13.38,broken clouds,2022-02-08 01:37:58
104,Svetlyy,RU,54.675,20.1347,37.45,81,34,14.0,scattered clouds,2022-02-08 01:37:59
105,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.04,76,9,6.38,clear sky,2022-02-08 01:38:00
106,Port Alfred,ZA,-33.5906,26.891,70.97,87,13,3.58,few clouds,2022-02-08 01:38:00
107,Amboasary,MG,-25.0333,46.3833,78.64,75,100,9.6,overcast clouds,2022-02-08 01:38:01
108,Lebu,CL,-37.6167,-73.65,60.12,83,67,14.23,broken clouds,2022-02-08 01:38:01
109,Tungor,RU,53.3808,142.9564,13.71,93,100,17.65,overcast clouds,2022-02-08 01:38:02
110,Broome,US,42.2506,-75.833,33.37,90,0,6.91,clear sky,2022-02-08 01:38:03
111,Stepnyak,KZ,52.8339,70.7803,4.98,97,65,9.06,broken clouds,2022-02-08 01:38:03
112,Touros,BR,-5.1989,-35.4608,81.5,71,5,11.21,clear sky,2022-02-08 01:38:04
113,Shingu,JP,33.7333,135.9833,43.92,67,100,2.91,overcast clouds,2022-02-08 01:38:04
114,Vanavara,RU,60.34,102.2797,-10.12,96,96,5.66,overcast clouds,2022-02-08 01:38:05
115,Katsuura,JP,35.1333,140.3,46.18,91,100,16.04,moderate rain,2022-02-08 01:38:06
116,Saskylakh,RU,71.9167,114.0833,-15.09,94,94,7.83,overcast clouds,2022-02-08 01:38:07
117,Esperance,AU,-33.8667,121.9,67.84,55,69,13.65,broken clouds,2022-02-08 01:38:07
118,Jumla,NP,29.2747,82.1838,27.99,75,9,5.17,clear sky,2022-02-08 01:38:08
119,Deputatskiy,RU,69.3,139.9,-32.58,96,85,3.49,overcast clouds,2022-02-08 01:38:08
120,Asau,RO,46.4333,26.4,35.4,86,100,5.77,overcast clouds,2022-02-08 01:38:09
121,Raasiku,EE,59.3664,25.1831,31.95,91,100,8.86,overcast clouds,2022-02-08 01:38:10
122,Okhotsk,RU,59.3833,143.3,9.88,76,100,7.2,overcast clouds,2022-02-08 01:38:10
123,Margate,GB,51.3813,1.3862,51.66,77,100,4.0,overcast clouds,2022-02-08 01:38:11
124,Mikhaylovka,RU,50.06,43.2379,32.79,97,100,12.82,light snow,2022-02-08 01:38:11
125,Simbakoro,SL,8.6,-11.0167,64.96,87,86,0.92,overcast clouds,2022-02-08 01:38:11
126,Codrington,AU,-38.2667,141.9667,85.69,21,3,12.17,clear sky,2022-02-08 01:38:12
127,Zhanaozen,KZ,43.3,52.8,25.66,84,10,3.49,clear sky,2022-02-08 01:38:12
128,Berlevag,NO,70.8578,29.0864,26.85,86,100,16.49,overcast clouds,2022-02-08 01:38:13
129,Cherdyn,RU,60.403,56.4787,-13.31,99,11,2.73,few clouds,2022-02-08 01:38:14
130,La Sarre,CA,48.8002,-79.1996,15.15,96,94,6.44,overcast clouds,2022-02-08 01:38:14
131,Vanderhoof,CA,54.0166,-124.0198,35.87,63,59,12.06,broken clouds,2022-02-08 01:38:15
132,Tessalit,ML,20.1986,1.0114,62.53,12,3,6.55,clear sky,2022-02-08 01:38:15
133,Zhezkazgan,KZ,47.8043,67.7144,6.78,85,100,0.0,fog,2022-02-08 01:38:16
134,Egvekinot,RU,66.3167,-179.1667,-17.79,72,0,12.3,clear sky,2022-02-08 01:38:17
135,Puerto Ayora,EC,-0.7393,-90.3518,72.79,82,16,5.48,few clouds,2022-02-08 01:38:17
136,Mariental,NA,-24.6333,17.9667,70.02,66,99,2.82,light rain,2022-02-08 01:38:18
137,Norman Wells,CA,65.282,-126.8329,-20.16,63,75,17.27,light snow,2022-02-08 01:36:36
138,Kodiak,US,57.79,-152.4072,36.91,87,100,18.41,mist,2022-02-08 01:38:18
139,Mayo,US,38.8876,-76.5119,40.08,93,100,9.22,light rain,2022-02-08 01:38:19
140,Lata,PT,40.1629,-8.3327,51.82,63,0,5.19,clear sky,2022-02-08 01:38:20
141,Coihaique,CL,-45.5752,-72.0662,64.35,63,100,5.75,overcast clouds,2022-02-08 01:38:20
142,Labuhan,ID,-6.8844,112.2051,83.16,75,73,5.01,broken clouds,2022-02-08 01:38:21
143,Aklavik,CA,68.2191,-135.0107,-33.77,90,100,7.92,overcast clouds,2022-02-08 01:38:21
144,Victoria,HK,22.2855,114.1577,63.25,85,95,8.99,overcast clouds,2022-02-08 01:34:34
145,Mabaruma,GY,8.2,-59.7833,73.74,86,56,3.76,broken clouds,2022-02-08 01:38:22
146,Guerrero Negro,MX,27.9769,-114.0611,67.55,35,0,5.77,clear sky,2022-02-08 01:38:23
147,Green River,US,41.5286,-109.4662,39.6,60,4,7.7,clear sky,2022-02-08 01:38:23
148,Erenhot,CN,43.6475,111.9767,10.09,69,2,9.62,clear sky,2022-02-08 01:38:24
149,Killybegs,IE,54.6333,-8.45,47.44,86,100,17.0,overcast clouds,2022-02-08 01:38:24
150,Singkang,MY,2.1006,102.7994,76.89,91,100,3.09,overcast clouds,2022-02-08 01:38:25
151,Kaeo,NZ,-35.1,173.7833,76.32,97,96,5.21,overcast clouds,2022-02-08 01:38:25
152,Saurimo,AO,-9.6608,20.3916,62.55,91,100,3.49,overcast clouds,2022-02-08 01:38:26
153,Baracoa,CU,20.3467,-74.4958,74.91,87,79,7.34,broken clouds,2022-02-08 01:38:26
154,Homer,US,59.6425,-151.5483,30.09,80,75,12.66,broken clouds,2022-02-08 01:38:27
155,Duvan,RU,55.695,57.9024,-0.15,100,93,1.28,overcast clouds,2022-02-08 01:38:30
156,Sisophon,KH,13.5859,102.9737,86.58,48,72,0.85,broken clouds,2022-02-08 01:38:31
157,Ponta Do Sol,PT,32.6667,-17.1,61.72,71,3,7.87,clear sky,2022-02-08 01:38:31
158,Souillac,MU,-20.5167,57.5167,75.58,94,75,4.61,broken clouds,2022-02-08 01:38:32
159,Cherskiy,RU,68.75,161.3,-31.09,98,31,2.75,scattered clouds,2022-02-08 01:38:32
160,Marsh Harbour,BS,26.5412,-77.0636,74.1,62,3,6.55,clear sky,2022-02-08 01:35:31
161,Kieta,PG,-6.2167,155.6333,84.96,76,100,9.91,light rain,2022-02-08 01:38:35
162,Namtsy,RU,62.7161,129.6658,-25.49,99,99,2.13,overcast clouds,2022-02-08 01:38:35
163,Polunochnoye,RU,60.8697,60.4153,-13.68,100,100,3.58,overcast clouds,2022-02-08 01:38:37
164,Kahului,US,20.8947,-156.47,82.42,66,20,21.85,few clouds,2022-02-08 01:36:58
165,Burnie,AU,-41.0667,145.9167,71.94,53,42,11.83,scattered clouds,2022-02-08 01:38:38
