City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Maiduguri,NG,65.3,clear sky,11.8464,13.1603,Kagel Mari Police Station
171,Omboue,GA,77.77,broken clouds,-1.5746,9.2618,Hotel Olako
174,Wairoa,NZ,71.55,overcast clouds,-39.0333,177.3667,Riverside Motor Camp
175,Kalemie,CD,68.74,light rain,-5.9475,29.1947,Mahobilali
177,Cape Town,ZA,69.1,fog,-33.9258,18.4232,Southern Sun Waterfront Cape Town
179,Praya,CV,66.74,few clouds,14.9215,-23.5087,LT Aparthotel
180,Pauini,BR,73.29,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
191,San Quintin,MX,60.67,clear sky,30.4833,-115.95,Don Eddie's Landing
192,Diego De Almagro,CL,66.49,clear sky,-26.3667,-70.05,hotel luna del desierto
193,Lompoc,US,66.34,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
195,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
196,Mareeba,AU,82.49,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
197,Flinders,AU,78.19,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
204,Chuy,UY,62.29,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
207,Sao Joao Da Barra,BR,76.84,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
208,Mar Del Plata,AR,64.87,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
209,Bambanglipuro,ID,82.54,overcast clouds,-7.95,110.2833,Puri Brata
210,Atar,MR,70.88,overcast clouds,20.5169,-13.0499,Oumou Elghoura
211,Gizo,SB,84.6,light rain,-8.103,156.8419,Imagination Island
212,Saldanha,ZA,63.9,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
213,Lhokseumawe,ID,79.29,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
214,Altamira,BR,72.73,broken clouds,-3.2033,-52.2064,Requinte Hotel
215,Awash,ET,68.38,broken clouds,8.9833,40.1667,Kediga hotel
216,Taoudenni,ML,66.27,clear sky,22.6783,-3.9836,
218,Pontal Do Parana,BR,77.72,broken clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
219,Kruisfontein,ZA,66.85,clear sky,-34.0033,24.7314,Oyster Bay House Rental
220,Mogadishu,SO,73.06,overcast clouds,2.0371,45.3438,Hotel Juba
221,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
222,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
223,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
226,Namatanai,PG,85.86,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
227,Khatra,IN,61.57,clear sky,22.9833,86.85,Aranyak Resort Mukutmanipur
229,Knysna,ZA,66.58,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
230,Dicabisagan,PH,77.31,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
232,Linguere,SN,75.09,clear sky,15.3953,-15.1193,AYO Casablanca
233,Laguna,US,69.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
234,Bengkulu,ID,80.6,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
237,Sapouy,BF,70.45,clear sky,11.5544,-1.7736,Auberge St Louis
238,Naze,JP,67.12,few clouds,28.3667,129.4833,Shishime Hotel
243,Mount Isa,AU,85.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
244,Saint-Joseph,RE,73.78,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
245,Noumea,NC,84.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
250,Rabak,SD,66.24,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
253,Caravelas,BR,77.11,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
254,Vanimo,PG,84.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
256,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
257,Lodja,CD,68.86,overcast clouds,-3.4833,23.4333,
258,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
260,Buin,CL,76.73,clear sky,-33.7333,-70.75,Paihuen
262,Alofi,NU,78.62,light rain,-19.0595,-169.9187,Taloa Heights
263,Cartago,CO,73.15,overcast clouds,4.7464,-75.9117,Habitación petite en hermoso lugar natural
265,Bubaque,GW,76.8,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
269,Vikindu,TZ,80.24,scattered clouds,-7.0067,39.2985,RUTA GUEST HOUSE
271,Puerto Carreno,CO,78.35,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
275,Manaus,BR,79.29,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
277,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
278,Muli,MV,81.57,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
282,Poum,NC,81.55,light rain,-20.2333,164.0167,
285,Valparaiso,CL,66.47,broken clouds,-33.0393,-71.6273,Hotel Ultramar
286,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
288,Cidreira,BR,68.14,clear sky,-30.1811,-50.2056,Hotel Castelo
290,Macapa,BR,80.58,scattered clouds,0.0389,-51.0664,Atalanta Hotel
295,Tomatlan,MX,69.37,clear sky,19.9333,-105.25,El Salvial
296,Sikonge,TZ,62.49,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
299,Bumba,CD,67.71,few clouds,2.1833,22.4667,Père Carlos
302,Tuatapere,NZ,62.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
303,Pinotepa Nacional,MX,72.99,scattered clouds,16.3167,-98.0167,Hotel Maria Del Carmen
305,Ballina,AU,77.04,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
309,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
310,Totoral,PE,62.91,overcast clouds,-17.4053,-70.365,
311,Roebourne,AU,87.3,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
315,Nelson Bay,AU,74.75,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
316,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
318,Moussoro,TD,62.76,clear sky,13.6408,16.4901,Hôtel Salama
322,Ambilobe,MG,73.78,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
323,Waiouru,NZ,72.48,overcast clouds,-39.4833,175.6667,Tawhiri
331,Luwuk,ID,85.96,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
334,Pringsewu,ID,81.63,overcast clouds,-5.3582,104.9744,Urban Style by Front One
335,Malakal,SS,69.71,broken clouds,9.5334,31.6605,Nile Palace Hotel
338,Turbat,PK,61.12,clear sky,26.0023,63.044,Mubashar Quarters
340,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
341,Matara,LK,75.67,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
343,Lafiagi,NG,76.01,clear sky,8.8667,5.4167,Bus group international
346,Meulaboh,ID,79.45,overcast clouds,4.1363,96.1285,Kost Pria
348,Thinadhoo,MV,82.09,overcast clouds,0.5333,72.9333,
349,Singapore,SG,78.75,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
353,Catamarca,AR,73.04,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
355,Huarmey,PE,71.28,overcast clouds,-10.0681,-78.1522,Hotel Miramar
357,Mayumba,GA,77.05,overcast clouds,-3.432,10.6554,LIKWALE LODGE
358,Mana,GF,76.89,overcast clouds,5.6592,-53.7767,LE SAMANA
359,Santa Cruz Cabralia,BR,79.03,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
361,Corowa,AU,78.58,clear sky,-36.0333,146.3833,Statesman Motor Inn
362,Takoradi,GH,78.4,broken clouds,4.8845,-1.7554,Raybow International Hotel
365,Trincomalee,LK,79.2,few clouds,8.5711,81.2335,Welcombe Hotel
369,Kimbe,PG,85.26,light rain,-5.5502,150.1429,Kimbe Bay Hotel
370,Madang,PG,85.46,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
373,Nishihara,JP,69.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
374,Coihueco,CL,74.14,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
375,Ribeira Brava,PT,61.72,clear sky,32.65,-17.0667,Hotel do Campo
381,Kavieng,PG,84.94,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
383,Lazaro Cardenas,MX,74.8,scattered clouds,17.9583,-102.2,quinta antigua
385,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
386,Bukama,CD,68.23,overcast clouds,-9.2,25.85,
387,Tucuma,BR,75.67,overcast clouds,-0.1833,-50.05,
388,Ancud,CL,62.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
389,Dingle,PH,83.21,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
391,Hervey Bay,AU,87.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
393,Nago,JP,70.65,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
396,Humaita,BR,74.71,broken clouds,-7.5061,-63.0208,Corrêa Hotel
399,Bathsheba,BB,76.55,broken clouds,13.2167,-59.5167,Atlantis Hotel
400,Nieuw Amsterdam,SR,79.02,broken clouds,5.8833,-55.0833,Hotel Stardust
402,Witu,KE,77.16,broken clouds,-2.3889,40.4382,
403,Mendi,PG,71.98,overcast clouds,-6.1761,143.6513,Kiburu Lodge
406,Tual,ID,83.07,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
409,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
410,Beroroha,MG,74.57,light rain,-21.6667,45.1667,
